drug_id,old_selling_price
442071,317.95
442312,307.52
442600,201.42
442986,359.13
443307,32.27
443466,141.05
443724,166.52
443910,32.97
444027,96.02
444900,89.05
445270,80.33
445318,238.5
445888,278.74
446593,62.52
446725,78.89
446761,122.4
447044,47.0
449415,167.35
451194,168.74
453864,70.92
455241,104.99
458607,50.14
460095,140.81
460140,113.9
460464,622.2
465247,193.0
465695,29.75
466235,66.3
468776,35.86
469895,79.69
470540,163.26
470902,282.89
473220,24.41
473661,218.05
482202,139.45
482214,182.45
485070,192.84
485082,38.55
485425,61.36
485737,146.63
485742,200.01
485995,28.0
486086,346.5
486302,113.43
486316,39.04
486370,524.15
486416,333.88
486430,196.83
486699,112.33
486892,151.8
486948,257.38
486971,107.89
486976,178.1
487033,593.27
487077,117.46
487143,321.44
487200,148.2
487234,49.16
487257,86.11
487427,185.0
487452,649.79
487518,74.0
487529,31.0
487598,134.74
487650,151.72
487724,82.45
487725,199.21
487746,194.44
487765,65.14
487872,108.69
487896,108.0
487897,183.83
488085,89.62
488122,49.0
488132,41.0
488144,53.0
488182,1326.2
488189,150.28
488229,62.0
488234,26.0
488368,152.52
488408,173.72
488499,138.66
488586,484.5
488613,149.81
488690,54.0
488783,158.34
488795,137.86
488814,289.46
488818,325.63
488856,74.0
489129,178.9
489135,25.5
489201,249.01
489259,89.25
489503,568.8
490176,18.26
492246,126.65
492251,92.06
492350,205.96
492397,334.75
492588,227.03
492589,178.73
492698,111.44
492864,45.98
492876,223.13
492914,167.35
492945,119.54
493141,219.14
493157,673.2
493631,259.58
493921,279.65
494165,22.5
494328,604.32
494657,200.81
494668,235.25
494786,498.75
494902,10.0
495025,172.92
495138,201.45
495175,104.95
495241,260.94
495277,165.75
495462,301.78
495502,19.0
495598,177.79
495633,20.0
495693,143.44
495704,52.25
495718,174.72
495757,468.04
495770,125.8
495780,83.67
495950,80.67
496027,40.85
496054,146.3
496072,107.19
496171,135.47
496218,112.76
496242,35.15
496325,127.16
496489,167.34
496558,201.61
496628,132.89
497286,517.96
497489,165.75
497620,15.0
497657,138.41
497687,91.88
497860,185.81
497903,100.0
497988,48.0
498022,85.68
498080,212.12
498121,143.65
498204,312.88
498260,161.76
498486,18.0
498526,172.52
498721,86.86
499317,93.6
499342,62.0
499416,151.4
499569,143.17
499651,101.5
499760,420.75
499936,152.15
500055,834.3
500096,51.59
500226,101.72
500231,177.65
500276,168.3
500483,188.06
500574,230.25
500682,428.28
500741,153.31
500764,268.55
500947,69.33
501091,84.83
501333,59.73
501456,315.69
501492,32.39
501538,338.64
501560,601.32
501722,199.22
501793,358.53
501904,235.88
501912,177.51
502003,86.63
502014,567.25
502053,174.25
502079,87.55
502095,510.8
502110,226.9
502216,214.99
502229,317.22
502230,285.56
502437,166.14
502603,331.69
502626,467.76
502744,47.01
502929,90.76
503045,116.41
503077,116.85
503154,272.52
503290,221.7
503400,23.92
503429,1513.26
503562,158.98
503979,69.16
504030,106.42
504162,150.0
504342,166.24
504571,16.36
504627,56.9
504707,28.5
504765,55.28
504966,47.73
505065,561.0
505272,1133.1
505557,429.27
505622,126.22
505726,53.59
505863,406.73
505988,143.51
506288,347.17
506326,175.15
506491,244.64
506652,131.84
507139,117.9
507385,175.5
507771,314.76
507965,72.31
508108,80.72
508176,56.18
508328,649.4
508348,292.4
508389,88.89
508551,162.96
508552,140.15
508672,255.0
508781,339.15
508915,724.03
509196,274.92
509253,166.55
509509,99.0
509551,327.25
509591,34.57
509625,54.71
509687,502.38
509782,158.53
509956,214.54
509966,450.0
510008,32.32
510122,191.25
510468,94.57
510706,53.39
510743,271.73
510763,158.74
510798,265.91
510859,9.81
511028,467.5
511139,201.61
511316,303.02
511356,143.44
511696,204.94
511715,247.5
511776,166.51
512244,158.68
512363,134.99
512935,172.77
513309,388.66
513340,151.41
513478,105.83
513614,600.0
513847,67.5
514023,121.88
514145,59.5
514417,315.56
516921,722.7
517410,109.68
517528,113.05
517625,137.54
517683,375.92
517705,43.83
518094,123.51
518169,742.86
518189,106.96
518200,350.16
518305,639.28
518360,195.7
518534,73.31
518868,194.04
519044,124.24
519077,80.01
519082,355.5
519189,127.5
519239,101.91
519516,245.44
519584,405.88
519637,836.74
519688,30.25
519704,120.69
519835,78.0
520049,508.3
520107,168.3
520286,135.0
520322,135.0
520468,64.55
520476,66.48
