sale_date,store_name,pilot,direction,gain_rev,gain_rgm
2026-07-01,Kamothe - Sector 36,0,flat,-128.30000000000004,12.286050856392954
2026-07-01,Kamothe - Sector 36,0,increased,626.56,475.1806900925525
2026-07-01,Kandivali East,0,decreased,26.580000000000013,28.599663451463975
2026-07-01,Kandivali East,0,flat,-59.60000000000003,87.67316397014221
2026-07-01,Kandivali East,0,increased,1331.4099999999999,1365.5270810274187
2026-07-01,Kandivali West,0,decreased,13.240000000000009,13.248991644601219
2026-07-01,Kandivali West,0,flat,-21.70000000000001,-63.927724459798824
2026-07-01,Kandivali West,0,increased,642.91,623.824620405041
2026-07-01,Kasarvadavali Thane,0,decreased,-728.7999999999997,-827.9445714015017
2026-07-01,Kasarvadavali Thane,0,flat,43.34999999999992,93.2288740321188
2026-07-01,Kasarvadavali Thane,0,increased,1000.3900000000001,1028.5678686597855
2026-07-01,Katrap Badlapur East,0,decreased,53.94,52.83907099849837
2026-07-01,Katrap Badlapur East,0,flat,-1.610000000000019,16.29175994576245
2026-07-01,Katrap Badlapur East,0,increased,747.22,703.3711873454617
2026-07-01,Khadki Pune,0,decreased,-18.599999999999994,-5.284277433640099
2026-07-01,Khadki Pune,0,flat,-124.94999999999997,-98.02784296101268
2026-07-01,Khadki Pune,0,increased,942.0699999999999,984.1469501847606
2026-07-01,Khanda Colony,1,decreased,66.52000000000001,56.04443460914569
2026-07-01,Khanda Colony,1,flat,407.28000000000014,-28.88781812391107
2026-07-01,Khanda Colony,1,increased,1075.91,1019.4494271658682
2026-07-01,Khar West,1,decreased,51.0,51.16515301670985
2026-07-01,Khar West,1,flat,-114.37000000000002,-21.804440078570767
2026-07-01,Khar West,1,increased,1324.56,1402.324575691892
2026-07-01,Kharghar,0,decreased,75.07999999999998,72.91738862498181
2026-07-01,Kharghar,0,flat,-275.0900000000001,-348.4296706390147
2026-07-01,Kharghar,0,increased,2106.4500000000003,1993.1744789169816
2026-07-01,Kharghar Sector 12,0,decreased,28.6,32.586822518565185
2026-07-01,Kharghar Sector 12,0,flat,45.79999999999994,31.854438838788283
2026-07-01,Kharghar Sector 12,0,increased,748.44,762.4452504883299
2026-07-01,Khopat,0,decreased,129.07000000000002,130.92897945289548
2026-07-01,Khopat,0,flat,-100.32000000000014,-111.31443422758035
2026-07-01,Khopat,0,increased,2907.85,2721.91772523364
2026-07-01,Khutwad Nagar Nashik,0,decreased,19.0,17.58766917870983
2026-07-01,Khutwad Nagar Nashik,0,flat,20.399999999999984,-61.09233085093213
2026-07-01,Khutwad Nagar Nashik,0,increased,184.95000000000005,190.67941415491347
2026-07-01,Kolsheth,0,decreased,23.22999999999999,10.591498652385702
2026-07-01,Kolsheth,0,flat,-85.81999999999996,-246.52551622223913
2026-07-01,Kolsheth,0,increased,2633.93,2530.025287787021
2026-07-01,Kopar Khairane,0,decreased,69.85,89.32572633306097
2026-07-01,Kopar Khairane,0,flat,-118.9699999999998,-172.69104916420022
2026-07-01,Kopar Khairane,0,increased,1634.5500000000002,1537.502774118713
2026-07-01,Kopari Thane,0,decreased,37.19999999999999,20.146060870840756
2026-07-01,Kopari Thane,0,flat,-984.7599999999999,-893.0026579653049
2026-07-01,Kopari Thane,0,increased,393.6700000000001,329.3019204567014
2026-07-01,Koper Khairane - Sector 7,0,decreased,56.01,56.206178590100066
2026-07-01,Koper Khairane - Sector 7,0,flat,-16.859999999999985,80.84873734760787
2026-07-01,Koper Khairane - Sector 7,0,increased,1250.54,1239.3018254207527
2026-07-01,Kulgaon Badlapur West,0,decreased,59.269999999999996,97.70565626406011
2026-07-01,Kulgaon Badlapur West,0,flat,217.85000000000022,-491.95179358128223
2026-07-01,Kulgaon Badlapur West,0,increased,1269.98,1322.0472038463004
2026-07-01,Kurla,0,decreased,29.170000000000016,20.67190010351662
2026-07-01,Kurla,0,flat,-14.200000000000038,39.274656565700376
2026-07-01,Kurla,0,increased,1521.09,1512.46821740082
2026-07-01,Kurla West,0,decreased,9.119999999999997,2.468019918488263
2026-07-01,Kurla West,0,flat,-52.430000000000135,-14.936773096082499
2026-07-01,Kurla West,0,increased,1997.2000000000003,1971.0626974672284
2026-07-01,Lower Parel - SJ Marg,0,decreased,-11.73,-18.307557409134223
2026-07-01,Lower Parel - SJ Marg,0,flat,8.009999999999991,77.83578388444931
2026-07-01,Lower Parel - SJ Marg,0,increased,848.68,843.1032375741183
2026-07-01,Mahakali,0,decreased,-46.60999999999998,-18.32941583536818
2026-07-01,Mahakali,0,flat,-13.669999999999884,-37.18598663803872
2026-07-01,Mahakali,0,increased,1896.7900000000002,1983.4474106629696
2026-07-01,Mahavir Pride Dombivali,0,decreased,65.56,66.83714960094932
2026-07-01,Mahavir Pride Dombivali,0,flat,-47.41999999999989,-69.63689640001152
2026-07-01,Mahavir Pride Dombivali,0,increased,1298.07,1314.1129440186287
2026-07-01,Mahim West,0,decreased,23.00999999999999,21.55776103233324
2026-07-01,Mahim West,0,flat,159.11000000000004,-37.817262191496226
2026-07-01,Mahim West,0,increased,1639.79,1708.309977131926
2026-07-01,Malad,0,decreased,-154.16000000000008,-105.69904401225337
2026-07-01,Malad,0,flat,-48.1099999999999,75.61404736449742
2026-07-01,Malad,0,increased,1935.6000000000001,1907.6911848088291
2026-07-01,Malad Liberty Garden,0,decreased,45.870000000000005,63.983086818219945
2026-07-01,Malad Liberty Garden,0,flat,-0.510000000000062,32.94782757924946
