window,store_name,pilot,revenue,cogs
pre,Shirgaon Badlapur,0,926864.61,614035.881
pre,Shivaji Nagar Pune,0,1197000.62,797534.9363
pre,Shreenagar,0,2416012.26,1516800.6995
pre,Shriprastha Nalasopara West,0,792404.03,541493.3477
pre,Sion Koliwada,0,1375053.59,842228.1617
pre,Thakur Complex,0,1716989.99,1034433.458
pre,Thergaon,0,773551.14,494344.1256
pre,Tilak Road Pune,0,1205580.67,813014.699
pre,Tilaknagar,0,1470262.19,883989.2192
pre,Titwala,0,2029899.85,1416475.1997
pre,Trimurti Chowk Nashik,0,461571.22,333697.844
pre,Ulhas Nagar - Shahad,0,853335.61,533517.1335
pre,Ulhas Nagar - Shreeram Chowk,0,715268.31,450962.6976
pre,Ulhasnagar,0,1424594.79,856265.7364
pre,Ulhasnagar - Humlog Circle,0,1079744.6,711255.1057
pre,Ulhasnagar - Khemani Chowk,0,715977.11,454651.7998
pre,Ulhasnagar Sector 4,0,1212590.41,814457.7012
pre,Ulwe-Navi Mumbai,0,1272612.39,728471.9648
pre,Vakola,0,1239948.71,804098.6379
pre,Vasai West - Station Road,0,1474759.11,1007765.1624
pre,Vashi,0,2854592.14,1801075.1229
pre,Vashi Sector 11,0,1328014.66,829262.9322
pre,Veenanagar,0,1213166.47,710257.1849
pre,Versova - Yari Road,0,1100836.07,676415.1169
pre,Versova Andheri,0,2525522.74,1668167.6781
pre,Vijay Nagari - Thane,0,2060649.68,1324798.7393
pre,Vikhroli,0,3390888.26,2171216.4062
pre,Vikhroli Kannamwar,0,1707350.36,1128635.7959
pre,Vile Parle,0,974249.35,621952.4422
pre,Virar East,0,1318199.38,856887.0457
pre,Virar West,0,1195982.39,802963.1242
pre,Wadgaon Budruk Pune,0,811514.37,562547.8551
pre,Wadgaon Sheri,0,1146579.85,814490.107
pre,Wadgaon Sheri-Old Mundhwa Rd,0,935804.38,671953.8666
pre,Wanawadi Pune,0,679183.6,424227.7324
pre,Warje Pune,0,541956.8,362948.5673
pre,Wayale Nagar,0,1151267.99,761971.5588
pre,Yashodhan,0,2932872.8,1847014.2322
pre,Yogi Nagar,0,1017858.4,603506.132
pre,Yogidham Kalyan,0,760449.46,523353.1721
post,7 Rasta Byculla,0,1228366.49,731344.3069
post,Airoli,0,3035955.83,1828020.8432
post,Airoli Sector - 3,0,1998671.38,1271182.5724
post,Ambegaon Pune,0,810806.05,544738.8864
post,Ambernath East,0,1272695.54,837799.8094
post,Ambernath West,0,1272092.72,814310.9217
post,Ashokvan Dahisar,0,1678208.25,1004678.3338
post,Badlapur - Belavali,0,1115977.9,692074.2253
post,Badlapur East,0,922358.68,599333.1612
post,Bandra,1,2245061.42,1283209.4017
post,Bhandup West,0,2178739.65,1325618.3014
post,Bhayandar,0,1961106.25,1165400.4192
post,Bhayander 60 Feet Road,0,1187252.07,768662.2161
post,Bhekrainagar Pune,0,758361.31,481109.8034
post,Bhiwandi - Shivaji Chowk,0,677281.2,437046.1552
post,Bhiwandi Dhamankar Naka,1,1747605.87,1066538.6228
post,Bibwewadi Pune,0,1409316.63,824872.2289
post,Bytco Point Nashik,0,1202974.96,850913.9338
post,CST Bora Bazaar,0,1073494.94,613337.2234
post,Chandivali,0,999324.56,594399.2984
post,Charkop,0,2068292.9,1221044.0979
post,Chembur,0,2810332.49,1547321.6747
post,Chinchwad,1,1168133.77,804720.3611
post,Chinchwad - Gandhi Peth,1,475768.76,332780.271
post,Cidco Nashik,0,848039.25,584873.6746
post,Colaba,1,908177.66,517742.006
post,Dadar East,0,1015106.06,603682.96
post,Dahisar,0,1685781.0,999244.9978
post,Dattnagar,0,986134.45,553718.7511
post,Dhanakwadi,0,1470431.33,972073.476
post,Dhanori Pune,0,1193286.06,769394.6918
post,Dhayari Pune,0,949761.44,621855.4734
post,Dighi Pune,1,757910.78,522896.2766
post,Dombivali,0,1709462.84,1020886.282
post,Dombivali - Navpada,0,1134035.21,726624.3709
post,Dombivali - Reti Bunder,0,818867.8186,532602.2871
post,Dombivli West,0,2350275.2,1301271.0226
post,Evershine Nagar,0,1002697.53,583545.7029
post,Fam Society - Koperkhairne,0,2126525.28,1339457.3525
post,Fursungi Pune,0,1136545.05,795284.2709
post,Ghansoli,0,2797270.96,1730844.3169
post,Ghatkopar East,0,2150534.31,1397604.6844
post,Ghatkopar West,0,2004728.79,1238917.7554
post,Ghodapdeo - Byculla,0,841286.18,454474.6392
post,Global City Virar West,0,1155423.35,769735.6908
post,Goregaon,1,2291233.9899999998,1333151.6931
post,Goregaon West S.V. Road,1,2105187.02,1403908.8865
post,Govandi,0,2280651.14,1305253.6149
post,Gujrat Colony Kothrud,0,874254.01,639632.3441
post,Gulab Nagar Pune,0,926299.96,602358.4106000001
post,Hari Om Nagar,0,1835362.45,1192844.5818
post,Hiltron Ulhasnagar,0,1058524.77,692624.0786
post,Hiranandani Thane,0,3204722.16,2087078.2061
post,IC Colony Borivali,0,2719598.6,1624110.9434
post,JB Nagar,0,3514197.88,2231922.3115
post,JJ Hospital,0,1981624.07,937969.32
post,Jagruti Nagar Ghatkopar,0,950521.46,613517.0851
post,Jail Road Nashik,0,902150.8,632330.8381
post,Jay VIjay Nagar Nalasopara East,0,788073.53,514031.959
