window,store_name,pilot,segment,units
pre,Malad,0,Ethical,5082
pre,Malad,0,GA,10472
pre,Malad,0,NGA,3580
pre,Malad,0,Other,2749
pre,Malad Liberty Garden,0,Ethical,3254
pre,Malad Liberty Garden,0,GA,7565
pre,Malad Liberty Garden,0,NGA,1402
pre,Malad Liberty Garden,0,Other,2316
pre,Malwani,0,Ethical,3475
pre,Malwani,0,GA,5852
pre,Malwani,0,NGA,1526
pre,Malwani,0,Other,1963
pre,Marol,0,Ethical,5548
pre,Marol,0,GA,12261
pre,Marol,0,NGA,3389
pre,Marol,0,Other,3931
pre,Mharal Ulhasnagar,0,Ethical,3438
pre,Mharal Ulhasnagar,0,GA,4746
pre,Mharal Ulhasnagar,0,NGA,1754
pre,Mharal Ulhasnagar,0,Other,3775
pre,Mhasrul Nashik,0,Ethical,2449
pre,Mhasrul Nashik,0,GA,3025
pre,Mhasrul Nashik,0,NGA,742
pre,Mhasrul Nashik,0,Other,2387
pre,Mira Road,0,Ethical,3467
pre,Mira Road,0,GA,5280
pre,Mira Road,0,NGA,1181
pre,Mira Road,0,Other,2096
pre,Mira Road - GCC Club Road,0,Ethical,1664
pre,Mira Road - GCC Club Road,0,GA,1741
pre,Mira Road - GCC Club Road,0,NGA,358
pre,Mira Road - GCC Club Road,0,Other,1645
pre,Mira Road Jangid Complex,0,Ethical,2993
pre,Mira Road Jangid Complex,0,GA,6459
pre,Mira Road Jangid Complex,0,NGA,1329
pre,Mira Road Jangid Complex,0,Other,3023
pre,Mohan Nagar Kandivali,0,Ethical,1422
pre,Mohan Nagar Kandivali,0,GA,4549
pre,Mohan Nagar Kandivali,0,NGA,922
pre,Mohan Nagar Kandivali,0,Other,1876
pre,Mulund East,0,Ethical,8462
pre,Mulund East,0,GA,19159
pre,Mulund East,0,NGA,4002
pre,Mulund East,0,Other,4976
pre,Mulund Panch Rasta,0,Ethical,2490
pre,Mulund Panch Rasta,0,GA,5872
pre,Mulund Panch Rasta,0,NGA,1397
pre,Mulund Panch Rasta,0,Other,1665
pre,Mulund West,0,Ethical,3634
pre,Mulund West,0,GA,13681
pre,Mulund West,0,NGA,2493
pre,Mulund West,0,Other,3029
pre,Mulund West-Sarvodaya Nagar,0,Ethical,5272
pre,Mulund West-Sarvodaya Nagar,0,GA,10281
pre,Mulund West-Sarvodaya Nagar,0,NGA,2332
pre,Mulund West-Sarvodaya Nagar,0,Other,2942
pre,Mundhwa Pune,0,Ethical,1804
pre,Mundhwa Pune,0,GA,2823
pre,Mundhwa Pune,0,NGA,606
pre,Mundhwa Pune,0,Other,1427
pre,NIBM Kondwa,0,Ethical,3963
pre,NIBM Kondwa,0,GA,8970
pre,NIBM Kondwa,0,NGA,2018
pre,NIBM Kondwa,0,Other,2960
pre,Nahur West,0,Ethical,4570
pre,Nahur West,0,GA,7365
pre,Nahur West,0,NGA,1536
pre,Nahur West,0,Other,2814
pre,Nalasopara - Yashwant Nagar,0,Ethical,1931
pre,Nalasopara - Yashwant Nagar,0,GA,2886
pre,Nalasopara - Yashwant Nagar,0,NGA,725
pre,Nalasopara - Yashwant Nagar,0,Other,2167
pre,Nalasopara West,0,Ethical,3201
pre,Nalasopara West,0,GA,4763
pre,Nalasopara West,0,NGA,1131
pre,Nalasopara West,0,Other,1538
pre,Narhe Pune,0,Ethical,1834
pre,Narhe Pune,0,GA,3231
pre,Narhe Pune,0,NGA,656
pre,Narhe Pune,0,Other,1385
pre,Naupada,0,Ethical,5997
pre,Naupada,0,GA,10599
pre,Naupada,0,NGA,2840
pre,Naupada,0,Other,3211
pre,Navare Nagar Ambernath,0,Ethical,2637
pre,Navare Nagar Ambernath,0,GA,3694
pre,Navare Nagar Ambernath,0,NGA,788
pre,Navare Nagar Ambernath,0,Other,1879
pre,Navi Peth Pune,0,Ethical,2962
pre,Navi Peth Pune,0,GA,5635
pre,Navi Peth Pune,0,NGA,985
pre,Navi Peth Pune,0,Other,2769
pre,Navjeevan Mumbai Central,0,Ethical,3748
pre,Navjeevan Mumbai Central,0,GA,8080
pre,Navjeevan Mumbai Central,0,NGA,2224
pre,Navjeevan Mumbai Central,0,Other,4357
pre,Nerul East,0,Ethical,3857
pre,Nerul East,0,GA,8250
pre,Nerul East,0,NGA,2045
pre,Nerul East,0,Other,3209
pre,Nerul West,0,Ethical,3420
pre,Nerul West,0,GA,8110
pre,Nerul West,0,NGA,2118
pre,Nerul West,0,Other,2681
pre,New Panvel,0,Ethical,5079
pre,New Panvel,0,GA,8117
pre,New Panvel,0,NGA,2210
pre,New Panvel,0,Other,2938
pre,Old Panvel,0,Ethical,4957
pre,Old Panvel,0,GA,6668
pre,Old Panvel,0,NGA,1598
pre,Old Panvel,0,Other,2498
pre,Palegaon Ambernath,0,Ethical,1309
pre,Palegaon Ambernath,0,GA,2485
pre,Palegaon Ambernath,0,NGA,554
pre,Palegaon Ambernath,0,Other,3246
